gender,age,debt,married,bank_customer,education_level,ethnic,years_employed,prior_default,employed,credit_risk,drive,citizenship,income
b,27.25,0.625,u,g,aa,v,0.455,t,f,0,t,g,0
b,37.17,4,u,g,c,bb,5,t,f,0,t,s,0
b,,0.375,u,g,d,v,0.875,t,f,0,t,s,0
b,25.67,2.21,y,p,aa,v,4,t,f,0,f,g,0
b,34,4.5,u,g,aa,v,1,t,f,0,t,g,0
a,49,1.5,u,g,j,j,0,t,f,0,t,g,27
b,62.5,12.75,y,p,c,h,5,t,f,0,f,g,0
b,31.42,15.5,u,g,c,v,0.5,t,f,0,f,g,0
b,,5,y,p,aa,v,8.5,t,f,0,f,g,0
b,52.33,1.375,y,p,c,h,9.46,t,f,0,t,g,100
b,28.75,1.5,y,p,c,v,1.5,t,f,0,t,g,225
a,28.58,3.54,u,g,i,bb,0.5,t,f,0,t,g,0
b,23,0.625,y,p,aa,v,0.125,t,f,0,f,g,1
b,,0.5,u,g,c,bb,0.835,t,f,0,t,s,0
a,22.5,11,y,p,q,v,3,t,f,0,t,g,0
a,28.5,1,u,g,q,v,1,t,t,2,t,g,500
b,37.5,1.75,y,p,c,bb,0.25,t,f,0,t,g,400
b,35.25,16.5,y,p,c,v,4,t,f,0,f,g,0
b,18.67,5,u,g,q,v,0.375,t,t,2,f,g,38
b,25,12,u,g,k,v,2.25,t,t,2,t,g,5
b,27.83,4,y,p,i,h,5.75,t,t,2,t,g,0
b,54.83,15.5,u,g,e,z,0,t,t,20,f,g,130
b,28.75,1.165,u,g,k,v,0.5,t,f,0,f,s,0
a,25,11,y,p,aa,v,4.5,t,f,0,f,g,0
b,40.92,2.25,y,p,x,h,10,t,f,0,t,g,0
a,19.75,0.75,u,g,c,v,0.795,t,t,5,t,g,5
b,29.17,3.5,u,g,w,v,3.5,t,t,3,t,g,0
a,24.5,1.04,y,p,ff,ff,0.5,t,t,3,f,g,147
b,24.58,12.5,u,g,w,v,0.875,t,f,0,t,g,0
a,33.75,0.75,u,g,k,bb,1,t,t,3,t,g,0
b,20.67,1.25,y,p,c,h,1.375,t,t,3,t,g,210
a,25.42,1.125,u,g,q,v,1.29,t,t,2,f,g,0
b,37.75,7,u,g,q,h,11.5,t,t,7,t,g,5
b,52.5,6.5,u,g,k,v,6.29,t,t,15,f,g,11202
b,57.83,7.04,u,g,m,v,14,t,t,6,t,g,1332
a,20.75,10.335,u,g,cc,h,0.335,t,t,1,t,g,50
b,39.92,6.21,u,g,q,v,0.04,t,t,1,f,g,300
b,25.67,12.5,u,g,cc,v,1.21,t,t,67,t,g,258
a,24.75,12.5,u,g,aa,v,1.5,t,t,12,t,g,567
a,44.17,6.665,u,g,q,v,7.375,t,t,3,t,g,0
a,23.5,9,u,g,q,v,8.5,t,t,5,t,g,0
b,34.92,5,u,g,x,h,7.5,t,t,6,t,g,1000
b,47.67,2.5,u,g,m,bb,2.5,t,t,12,t,g,2510
b,22.75,11,u,g,q,v,2.5,t,t,7,t,g,809
b,34.42,4.25,u,g,i,bb,3.25,t,t,2,f,g,610
a,28.42,3.5,u,g,w,v,0.835,t,f,0,f,s,0
b,67.75,5.5,u,g,e,z,13,t,t,1,t,g,0
b,20.42,1.835,u,g,c,v,2.25,t,t,1,f,g,150
a,47.42,8,u,g,e,bb,6.5,t,t,6,f,g,51100
b,36.25,5,u,g,c,bb,2.5,t,t,6,f,g,367
b,32.67,5.5,u,g,q,h,5.5,t,t,12,t,g,1000
b,48.58,6.5,u,g,q,h,6,t,f,0,t,g,0
b,39.92,0.54,y,p,aa,v,0.5,t,t,3,f,g,1000
b,33.58,2.75,u,g,m,v,4.25,t,t,6,f,g,0
a,18.83,9.5,u,g,w,v,1.625,t,t,6,t,g,600
a,26.92,13.5,u,g,q,h,5,t,t,2,f,g,5000
a,31.25,3.75,u,g,cc,h,0.625,t,t,9,t,g,0
a,56.5,16,u,g,j,ff,0,t,t,15,f,g,247
b,43,0.29,y,p,cc,h,1.75,t,t,8,f,g,375
b,22.33,11,u,g,w,v,2,t,t,1,f,g,278
b,27.25,1.665,u,g,cc,h,5.085,t,t,9,f,g,827
b,32.83,2.5,u,g,cc,h,2.75,t,t,6,f,g,2072
b,23.25,1.5,u,g,q,v,2.375,t,t,3,t,g,582
a,40.33,7.54,y,p,q,h,8,t,t,14,f,g,2300
a,30.5,6.5,u,g,c,bb,4,t,t,7,t,g,3065
a,52.83,15,u,g,c,v,5.5,t,t,14,f,g,2200
a,46.67,0.46,u,g,cc,h,0.415,t,t,11,t,g,6
a,58.33,10,u,g,q,v,4,t,t,14,f,g,1602
b,37.33,6.5,u,g,m,h,4.25,t,t,12,t,g,0
b,23.08,2.5,u,g,c,v,1.085,t,t,11,t,g,2184
b,32.75,1.5,u,g,cc,h,5.5,t,t,3,t,g,0
a,21.67,11.5,y,p,j,j,0,t,t,11,t,g,0
a,28.5,3.04,y,p,x,h,2.54,t,t,1,f,g,0
a,68.67,15,u,g,e,z,0,t,t,14,f,g,3376
b,28,2,u,g,k,h,4.165,t,t,2,t,g,0
b,34.08,0.08,y,p,m,bb,0.04,t,t,1,t,g,2000
b,27.67,2,u,g,x,h,1,t,t,4,f,g,7544
b,44,2,u,g,m,v,1.75,t,t,2,t,g,15
b,25.08,1.71,u,g,x,v,1.665,t,t,1,t,g,20
b,32,1.75,y,p,e,h,0.04,t,f,0,t,g,0
a,60.58,16.5,u,g,q,v,11,t,f,0,t,g,10561
a,40.83,10,u,g,q,h,1.75,t,f,0,f,g,837
b,19.33,9.5,u,g,q,v,1,t,f,0,t,g,400
a,32.33,0.54,u,g,cc,v,0.04,t,f,0,f,g,11177
b,36.67,3.25,u,g,q,h,9,t,f,0,t,g,639
b,37.5,1.125,y,p,d,v,1.5,f,f,0,t,g,0
a,25.08,2.54,y,p,aa,v,0.25,t,f,0,t,g,0
b,41.33,0,u,g,c,bb,15,t,f,0,f,g,0
b,56,12.5,u,g,k,h,8,t,f,0,t,g,2028
a,49.83,13.585,u,g,k,h,8.5,t,f,0,t,g,0
b,22.67,10.5,u,g,q,h,1.335,t,f,0,f,g,0
b,27,1.5,y,p,w,v,0.375,t,f,0,t,g,1065
b,25,12.5,u,g,aa,v,3,t,f,0,t,s,0
a,26.08,8.665,u,g,aa,v,1.415,t,f,0,f,g,150
a,18.42,9.25,u,g,q,v,1.21,t,t,4,f,g,540
b,20.17,8.17,u,g,aa,v,1.96,t,t,14,f,g,158
b,47.67,0.29,u,g,c,bb,15,t,t,20,f,g,15000
a,21.25,2.335,u,g,i,bb,0.5,t,t,4,f,s,0
a,20.67,3,u,g,q,v,0.165,t,t,3,f,g,6
a,57.08,19.5,u,g,c,v,5.5,t,t,7,f,g,3000
a,22.42,5.665,u,g,q,v,2.585,t,t,7,f,g,3257
b,48.75,8.5,u,g,c,h,12.5,t,t,9,f,g,1655
b,40,6.5,u,g,aa,bb,3.5,t,t,1,f,g,500
b,40.58,5,u,g,c,v,5,t,t,7,f,g,3065
a,28.67,1.04,u,g,c,v,2.5,t,t,5,t,g,1430
a,33.08,4.625,u,g,q,h,1.625,t,t,2,f,g,0
b,21.33,10.5,u,g,c,v,3,t,f,0,t,g,0
b,42,0.205,u,g,i,h,5.125,t,f,0,f,g,0
b,41.75,0.96,u,g,x,v,2.5,t,f,0,f,g,600
b,22.67,1.585,y,p,w,v,3.085,t,t,6,f,g,0
b,34.5,4.04,y,p,i,bb,8.5,t,t,7,t,g,0
b,28.25,5.04,y,p,c,bb,1.5,t,t,8,t,g,7
b,33.17,3.165,y,p,x,v,3.165,t,t,3,t,g,0
b,48.17,7.625,u,g,w,h,15.5,t,t,12,f,g,790
b,27.58,2.04,y,p,aa,v,2,t,t,3,t,g,560
b,22.58,10.04,u,g,x,v,0.04,t,t,9,f,g,396
a,24.08,0.5,u,g,q,h,1.25,t,t,1,f,g,678
a,41.33,1,u,g,i,bb,2.25,t,f,0,t,g,300
b,24.83,2.75,u,g,c,v,2.25,t,t,6,f,g,600
a,20.75,10.25,u,g,q,v,0.71,t,t,2,t,g,0
b,36.33,2.125,y,p,w,v,0.085,t,t,1,f,g,1187
a,35.42,12,u,g,q,h,14,t,t,8,f,g,6590
a,71.58,0,,?,?,?,0,f,f,0,f,p,0
b,28.67,9.335,u,g,q,h,5.665,t,t,6,f,g,168
b,35.17,2.5,u,g,k,v,4.5,t,t,7,f,g,1270
b,39.5,4.25,u,g,c,bb,6.5,t,t,16,f,g,1210
b,39.33,5.875,u,g,cc,h,10,t,t,14,t,g,0
b,24.33,6.625,y,p,d,v,5.5,t,f,0,t,s,0
b,60.08,14.5,u,g,ff,ff,18,t,t,15,t,g,1000
b,23.08,11.5,u,g,i,v,3.5,t,t,9,f,g,742
b,26.67,2.71,y,p,cc,v,5.25,t,t,1,f,g,0
b,48.17,3.5,u,g,aa,v,3.5,t,f,0,f,s,0
b,41.17,4.04,u,g,cc,h,7,t,t,8,f,g,0
b,55.92,11.5,u,g,ff,ff,5,t,t,5,f,g,8851
b,53.92,9.625,u,g,e,v,8.665,t,t,5,f,g,0
a,18.92,9.25,y,p,c,v,1,t,t,4,t,g,500
a,50.08,12.54,u,g,aa,v,2.29,t,t,3,t,g,0
b,65.42,11,u,g,e,z,20,t,t,7,t,g,0
a,17.58,9,u,g,aa,v,1.375,t,f,0,t,g,0
a,18.83,9.54,u,g,aa,v,0.085,t,f,0,f,g,0
a,37.75,5.5,u,g,q,v,0.125,t,f,0,t,g,0
b,23.25,4,u,g,c,bb,0.25,t,f,0,t,g,0
b,18.08,5.5,u,g,k,v,0.5,t,f,0,f,g,0
a,22.5,8.46,y,p,x,v,2.46,f,f,0,f,g,0
b,19.67,0.375,u,g,q,v,2,t,t,2,t,g,0
b,22.08,11,u,g,cc,v,0.665,t,f,0,f,g,0
b,25.17,3.5,u,g,cc,v,0.625,t,t,7,f,g,7059
a,47.42,3,u,g,x,v,13.875,t,t,2,t,g,1704
b,33.5,1.75,u,g,x,h,4.5,t,t,4,t,g,857
b,27.67,13.75,u,g,w,v,5.75,t,f,0,t,g,500
a,58.42,21,u,g,i,bb,10,t,t,13,f,g,6700
a,20.67,1.835,u,g,q,v,2.085,t,t,5,f,g,2503
b,26.17,0.25,u,g,i,bb,0,t,f,0,t,g,0
b,21.33,7.5,u,g,aa,v,1.415,t,t,1,f,g,9800
b,42.83,4.625,u,g,q,v,4.58,t,f,0,f,s,0
b,38.17,10.125,u,g,x,v,2.5,t,t,6,f,g,196
b,20.5,10,y,p,c,v,2.5,t,f,0,f,s,0
b,48.25,25.085,u,g,w,v,1.75,t,t,3,f,g,14
b,28.33,5,u,g,w,v,11,t,f,0,t,g,0
a,18.75,7.5,u,g,q,v,2.71,t,t,5,f,g,26726
b,18.5,2,u,g,i,v,1.5,t,t,2,f,g,300
b,33.17,3.04,y,p,c,h,2.04,t,t,1,t,g,18027
b,45,8.5,u,g,cc,h,14,t,t,1,t,g,2000
a,19.67,0.21,u,g,q,h,0.29,t,t,11,f,g,99
,24.5,12.75,u,g,c,bb,4.75,t,t,2,f,g,444
b,21.83,11,u,g,x,v,0.29,t,t,6,f,g,0
b,40.25,21.5,u,g,e,z,20,t,t,11,f,g,1200
b,41.42,5,u,g,q,h,5,t,t,6,t,g,0
a,17.83,11,u,g,x,h,1,t,t,11,f,g,3000
b,23.17,11.125,u,g,x,h,0.46,t,t,1,f,g,0
b,,0.625,u,g,k,v,0.25,f,f,0,f,g,2010
b,18.17,10.25,u,g,c,h,1.085,f,f,0,f,g,13
b,20,11.045,u,g,c,v,2,f,f,0,t,g,0
b,20,0,u,g,d,v,0.5,f,f,0,f,g,0
a,20.75,9.54,u,g,i,v,0.04,f,f,0,f,g,1000
a,24.5,1.75,y,p,c,v,0.165,f,f,0,f,g,0
b,32.75,2.335,u,g,d,h,5.75,f,f,0,t,g,0
a,52.17,0,y,p,ff,ff,0,f,f,0,f,g,0
a,48.17,1.335,u,g,i,o,0.335,f,f,0,f,g,120
a,20.42,10.5,y,p,x,h,0,f,f,0,t,g,32
b,50.75,0.585,u,g,ff,ff,0,f,f,0,f,g,0
b,17.08,0.085,y,p,c,v,0.04,f,f,0,f,g,722
b,18.33,1.21,y,p,e,dd,0,f,f,0,f,g,0
a,32,6,u,g,d,v,1.25,f,f,0,f,g,0
b,59.67,1.54,u,g,q,v,0.125,t,f,0,t,g,0
b,18,0.165,u,g,q,n,0.21,f,f,0,f,g,40
b,37.58,0,,?,?,?,0,f,f,0,f,p,0
b,32.33,2.5,u,g,c,v,1.25,f,f,0,t,g,0
b,18.08,6.75,y,p,m,v,0.04,f,f,0,f,g,0
b,38.25,10.125,y,p,k,v,0.125,f,f,0,f,g,0
b,30.67,2.5,u,g,cc,h,2.25,f,f,0,t,s,0
b,18.58,5.71,u,g,d,v,0.54,f,f,0,f,g,0
a,19.17,5.415,u,g,i,h,0.29,f,f,0,f,g,484
a,18.17,10,y,p,q,h,0.165,f,f,0,f,g,0
b,24.58,13.5,y,p,ff,ff,0,f,f,0,f,g,0
b,16.25,0.835,u,g,m,v,0.085,t,f,0,f,s,0
b,21.17,0.875,y,p,c,h,0.25,f,f,0,f,g,204
b,23.92,0.585,y,p,cc,h,0.125,f,f,0,f,g,1
b,17.67,4.46,u,g,c,v,0.25,f,f,0,f,s,0
a,16.5,1.25,u,g,q,v,0.25,f,t,1,f,g,98
b,23.25,12.625,u,g,c,v,0.125,f,t,2,f,g,5552
b,17.58,10,u,g,w,h,0.165,f,t,1,f,g,1
a,,1.5,u,g,ff,ff,0,f,t,2,t,g,105
b,29.5,0.58,u,g,w,v,0.29,f,t,1,f,g,2803
b,18.83,0.415,y,p,c,v,0.165,f,t,1,f,g,1
a,21.75,1.75,y,p,j,j,0,f,f,0,f,g,0
b,23,0.75,u,g,m,v,0.5,f,f,0,t,s,0
a,18.25,10,u,g,w,v,1,f,t,1,f,g,1
b,25.42,0.54,u,g,w,v,0.165,f,t,1,f,g,444
b,35.75,2.415,u,g,w,v,0.125,f,t,2,f,g,1
a,16.08,0.335,u,g,ff,ff,0,f,t,1,f,g,126
a,31.92,3.125,u,g,ff,ff,3.04,f,t,2,t,g,4
b,69.17,9,u,g,ff,ff,4,f,t,1,f,g,6
b,32.92,2.5,u,g,aa,v,1.75,f,t,2,t,g,0
b,16.33,2.75,u,g,aa,v,0.665,f,t,1,f,g,21
b,22.17,12.125,u,g,c,v,3.335,f,t,2,t,g,173
a,57.58,2,u,g,ff,ff,6.5,f,t,1,f,g,10
b,18.25,0.165,u,g,d,v,0.25,f,f,0,t,s,0
b,23.42,1,u,g,c,v,0.5,f,f,0,t,s,0
a,15.92,2.875,u,g,q,v,0.085,f,f,0,f,g,0
a,24.75,13.665,u,g,q,h,1.5,f,f,0,f,g,1
b,48.75,26.335,y,p,ff,ff,0,t,f,0,t,g,0
b,23.5,2.75,u,g,ff,ff,4.5,f,f,0,f,g,25
b,18.58,10.29,u,g,ff,ff,0.415,f,f,0,f,g,0
b,27.75,1.29,u,g,k,h,0.25,f,f,0,t,s,0
a,31.75,3,y,p,j,j,0,f,f,0,f,g,20
a,24.83,4.5,u,g,w,v,1,f,f,0,t,g,6
b,19,1.75,y,p,c,v,2.335,f,f,0,t,g,6
a,16.33,0.21,u,g,aa,v,0.125,f,f,0,f,g,1
a,18.58,10,u,g,d,v,0.415,f,f,0,f,g,42
b,16.25,0,y,p,aa,v,0.25,f,f,0,f,g,0
b,23,0.75,u,g,m,v,0.5,t,f,0,t,s,0
b,21.17,0.25,y,p,c,h,0.25,f,f,0,f,g,204
b,17.5,22,,gg,ff,o,0,f,f,0,t,p,100000
b,19.17,0,y,p,m,bb,0,f,f,0,t,s,1
b,36.75,0.125,y,p,c,v,1.5,f,f,0,t,g,113
b,21.25,1.5,u,g,w,v,1.5,f,f,0,f,g,8
a,18.08,0.375,,gg,cc,ff,10,f,f,0,t,s,0
a,33.67,0.375,u,g,cc,v,0.375,f,f,0,f,g,44
b,48.58,0.205,y,p,k,v,0.25,t,t,11,f,g,2732
b,33.67,1.25,u,g,w,v,1.165,f,f,0,f,g,0
a,29.5,1.085,y,p,x,v,1,f,f,0,f,g,13
b,30.17,1.085,y,p,c,v,0.04,f,f,0,f,g,179
,40.83,3.5,u,g,i,bb,0.5,f,f,0,f,s,0
b,34.83,2.5,y,p,w,v,3,f,f,0,f,s,0
b,,4,y,p,i,v,0.085,f,f,0,t,g,0
b,20.42,0,,?,?,?,0,f,f,0,f,p,0
a,33.25,2.5,y,p,c,v,2.5,f,f,0,t,g,2
b,34.08,2.5,u,g,c,v,1,f,f,0,f,g,16
a,25.25,12.5,u,g,d,v,1,f,f,0,t,g,1062
b,34.75,2.5,u,g,cc,bb,0.5,f,f,0,f,g,0
b,27.67,0.75,u,g,q,h,0.165,f,f,0,t,g,251
b,47.33,6.5,u,g,c,v,1,f,f,0,t,g,228
a,34.83,1.25,y,p,i,h,0.5,f,f,0,t,g,0
a,33.25,3,y,p,aa,v,2,f,f,0,f,g,0
b,28,3,u,g,w,v,0.75,f,f,0,t,g,67
a,39.08,4,u,g,c,v,3,f,f,0,f,g,0
b,42.75,4.085,u,g,aa,v,0.04,f,f,0,f,g,100
b,26.92,2.25,u,g,i,bb,0.5,f,f,0,t,g,4000
b,33.75,2.75,u,g,i,bb,0,f,f,0,f,g,0
b,38.92,1.75,u,g,k,v,0.5,f,f,0,t,g,2
b,62.75,7,u,g,e,z,0,f,f,0,f,g,12
,32.25,1.5,u,g,c,v,0.25,f,f,0,t,g,122
b,26.75,4.5,y,p,c,bb,2.5,f,f,0,f,g,1210
b,63.33,0.54,u,g,c,v,0.585,t,t,3,t,g,0
b,27.83,1.5,u,g,w,v,2.25,f,t,1,t,g,3
a,26.17,2,u,g,j,j,0,f,f,0,t,g,1
b,22.17,0.585,y,p,ff,ff,0,f,f,0,f,g,0
b,22.5,11.5,y,p,m,v,1.5,f,f,0,t,g,4000
b,30.75,1.585,u,g,d,v,0.585,f,f,0,t,s,0
b,36.67,2,u,g,i,v,0.25,f,f,0,t,g,0
a,16,0.165,u,g,aa,v,1,f,t,2,t,g,1
b,41.17,1.335,u,g,d,v,0.165,f,f,0,f,g,0
a,19.5,0.165,u,g,q,v,0.04,f,f,0,t,g,0
b,32.42,3,u,g,d,v,0.165,f,f,0,t,g,0
a,36.75,4.71,u,g,ff,ff,0,f,f,0,f,g,0
a,30.25,5.5,u,g,k,v,5.5,f,f,0,t,s,0
b,23.08,2.5,u,g,ff,ff,0.085,f,f,0,t,g,4208
b,26.83,0.54,u,g,k,ff,0,f,f,0,f,g,0
b,16.92,0.335,y,p,k,v,0.29,f,f,0,f,s,0
b,24.42,2,u,g,e,dd,0.165,f,t,2,f,g,1300
b,42.83,1.25,u,g,m,v,13.875,f,t,1,t,g,112
a,22.75,6.165,u,g,aa,v,0.165,f,f,0,f,g,1000
b,39.42,1.71,y,p,m,v,0.165,f,f,0,f,s,0
a,23.58,11.5,y,p,k,h,3,f,f,0,t,g,16
b,21.42,0.75,y,p,r,n,0.75,f,f,0,t,g,2
b,33,2.5,y,p,w,v,7,f,f,0,t,g,0
b,26.33,13,u,g,e,dd,0,f,f,0,t,g,1110
a,45,4.585,u,g,k,h,1,f,f,0,t,s,0
b,26.25,1.54,u,g,w,v,0.125,f,f,0,f,g,0
,28.17,0.585,u,g,aa,v,0.04,f,f,0,f,g,1004
a,20.83,0.5,y,p,e,dd,1,f,f,0,f,g,0
b,28.67,14.5,u,g,d,v,0.125,f,f,0,f,g,286
b,20.67,0.835,y,p,c,v,2,f,f,0,t,s,0
b,34.42,1.335,u,g,i,bb,0.125,f,f,0,t,g,4500
b,33.58,0.25,u,g,i,bb,4,f,f,0,t,s,0
b,43.17,5,u,g,i,bb,2.25,f,f,0,t,g,0
a,22.67,7,u,g,c,v,0.165,f,f,0,f,g,0
a,24.33,2.5,y,p,i,bb,4.5,f,f,0,f,g,456
a,56.83,4.25,y,p,ff,ff,5,f,f,0,t,g,4
b,22.08,11.46,u,g,k,v,1.585,f,f,0,t,g,1212
b,34,5.5,y,p,c,v,1.5,f,f,0,t,g,0
b,22.58,1.5,y,p,aa,v,0.54,f,f,0,t,g,67
b,21.17,0,u,g,c,v,0.5,f,f,0,t,s,0
b,26.67,14.585,u,g,i,bb,0,f,f,0,t,g,0
b,22.92,0.17,u,g,m,v,0.085,f,f,0,f,s,0
b,15.17,7,u,g,e,v,1,f,f,0,f,g,0
b,39.92,5,u,g,i,bb,0.21,f,f,0,f,g,0
b,27.42,12.5,u,g,aa,bb,0.25,f,f,0,t,g,0
b,24.75,0.54,u,g,m,v,1,f,f,0,t,g,1
b,41.17,1.25,y,p,w,v,0.25,f,f,0,f,g,195
a,33.08,1.625,u,g,d,v,0.54,f,f,0,t,g,0
b,29.83,2.04,y,p,x,h,0.04,f,f,0,f,g,1
a,23.58,0.585,y,p,ff,ff,0.125,f,f,0,f,g,87
b,26.17,12.5,y,p,k,h,1.25,f,f,0,t,g,17
b,31,2.085,u,g,c,v,0.085,f,f,0,f,g,0
b,20.75,5.085,y,p,j,v,0.29,f,f,0,f,g,184
b,28.92,0.375,u,g,c,v,0.29,f,f,0,f,g,140
a,51.92,6.5,u,g,i,bb,3.085,f,f,0,t,g,0
a,22.67,0.335,u,g,q,v,0.75,f,f,0,f,s,0
b,34,5.085,y,p,i,bb,1.085,f,f,0,t,g,0
a,69.5,6,u,g,ff,ff,0,f,f,0,f,s,0
a,40.33,8.125,y,p,k,v,0.165,f,t,2,f,g,18
a,19.58,0.665,y,p,c,v,1,f,t,1,f,g,2
b,16,3.125,u,g,w,v,0.085,f,t,1,f,g,6
b,17.08,0.25,u,g,q,v,0.335,f,t,4,f,g,8
b,31.25,2.835,u,g,ff,ff,0,f,t,5,f,g,146
b,25.17,3,u,g,c,v,1.25,f,t,1,f,g,22
a,22.67,0.79,u,g,i,v,0.085,f,f,0,f,g,0
b,40.58,1.5,u,g,i,bb,0,f,f,0,f,s,0
b,22.25,0.46,u,g,k,v,0.125,f,f,0,t,g,55
a,22.25,1.25,y,p,ff,ff,3.25,f,f,0,f,g,0
