category,amt,gender,lat,long,city_pop,merch_lat,merch_long,is_fraud,age
shopping_pos,268.56,F,26.7383,-80.27600000000002,26551,27.089414,-79.71338399999998,0,40-64
gas_transport,9.94,F,29.6047,-96.5249,106,29.37216,-95.896707,1,40-64
shopping_net,2.03,F,38.097,-86.1723,350,37.721108,-87.163319,0,>=65
shopping_net,1039.1,M,40.4971,-82.8342,267,40.841864,-83.26698,1,<=25
shopping_net,928.13,M,26.9379,-82.2388,79008,27.025767,-82.729637,1,40-64
shopping_net,1039.82,M,32.3374,-86.2715,214703,33.248083,-86.543172,1,26-39
food_dining,55.03,M,32.3374,-86.2715,214703,32.380672,-85.396006,0,26-39
grocery_pos,83.8,M,35.8596,-86.421,158701,36.319662,-87.390897,0,40-64
home,15.52,F,37.8795,-82.7251,571,37.992764,-82.682224,0,>=65
shopping_net,1099.48,M,40.0235,-120.7986,128,40.2166,-119.865971,1,>=65
personal_care,67.44,F,34.2651,-77.867,186140,33.854388,-78.525665,0,40-64
shopping_net,926.13,F,42.6315,-75.1866,165,42.351921,-74.828441,1,>=65
gas_transport,7.31,F,36.126,-115.1454,1417793,36.022613,-115.306226,1,>=65
shopping_net,974.87,M,33.9659,-80.9355,333497,34.480346999999995,-80.284676,1,>=65
gas_transport,92.96,F,44.9897,-122.6187,1252,44.119522,-122.79356,0,>=65
misc_net,788.22,F,42.2008,-79.8332,12478,41.955113,-79.332479,1,<=25
misc_pos,401.36,F,34.0326,-82.2027,1523,34.336462,-82.045762,0,40-64
misc_pos,63.88,F,41.1558,-101.136,1789,40.16673,-100.471762,0,40-64
misc_pos,26.04,F,30.8985,-87.1332,5719,31.746183,-86.910327,0,26-39
entertainment,67.86,M,41.6125,-122.5258,589,41.108781,-122.811955,0,>=65
gas_transport,10.45,F,33.9845,-85.9077,67082,34.109532,-86.152827,1,>=65
home,72.98,M,38.4207,-79.4629,99,38.088937,-79.659599,0,26-39
grocery_pos,311.58,F,39.1657,-84.23299999999998,31394,39.177761,-83.44125600000002,1,26-39
misc_pos,2.11,F,39.537,-83.455,22305,39.047706,-83.648257,0,>=65
health_fitness,22.86,F,37.7827,-80.3129,5216,37.139018,-80.96950600000002,1,26-39
misc_pos,412.74,F,29.8826,-84.5964,217,30.263949,-83.895972,0,26-39
home,26.25,M,44.6001,-84.2931,864,45.532769,-84.49704399999997,0,>=65
kids_pets,17.57,F,34.8698,-100.6806,513,34.323627,-100.189323,1,40-64
kids_pets,52.63,F,40.3207,-110.436,302,41.101855,-110.10342,0,26-39
grocery_pos,301.63,M,38.9367,-76.994,601723,38.254724,-76.305488,1,26-39
misc_pos,152.36,F,29.7972,-95.3288,2906700,30.425688,-94.86182,0,40-64
shopping_net,956.7,F,40.0456,-97.4735,121,40.069524,-98.054297,1,26-39
shopping_pos,862.12,F,40.6152,-74.415,71485,40.154412,-73.788107,1,40-64
shopping_pos,9.15,F,34.3396,-89.5736,4198,34.746095000000004,-88.8134,0,<=25
personal_care,3.36,F,43.2237,-75.1612,1684,43.809286,-75.954073,0,26-39
personal_care,16.35,F,33.3749,-99.8473,178,33.645871,-100.493997,0,40-64
shopping_net,946.81,F,40.6152,-74.415,71485,40.455359,-73.952669,1,40-64
grocery_pos,339.79,F,40.813,-83.4196,118,41.452215,-83.194424,1,>=65
misc_net,796.78,M,44.5232,-86.2061,680,43.549223,-85.382319,1,>=65
misc_pos,1.05,M,42.958,-77.3083,10717,42.21649,-77.84983000000003,0,>=65
gas_transport,54.39,F,27.4703,-81.4872,50835,27.214583,-82.14694399999998,0,26-39
grocery_net,15.0,F,33.0437,-81.7106,1100,33.525818,-81.21685500000002,1,>=65
grocery_pos,287.29,M,40.0987,-84.6342,22930,39.176543,-84.913202,1,40-64
grocery_pos,277.82,F,34.7543,-86.6546,190178,34.031062,-86.79959699999998,1,>=65
shopping_net,955.85,M,39.9961,-79.7678,1946,39.315167,-79.55155699999997,1,26-39
personal_care,14.88,M,34.7789,-86.5438,190178,35.617421,-86.96220600000002,0,40-64
misc_net,772.39,F,41.36600000000001,-98.0054,1749,40.745923,-97.348637,1,40-64
gas_transport,53.51,M,47.2271,-117.0819,895,46.875932,-116.830309,0,<=25
gas_transport,79.39,M,38.2352,-104.66,151815,38.337574,-104.479469,0,26-39
shopping_net,80.81,F,36.2201,-91.6421,2856,36.535422,-91.007373,0,>=65
grocery_net,17.8,F,30.9416,-83.3574,10295,30.427838,-83.14745,1,26-39
shopping_pos,876.6,M,37.7878,-122.1884,381459,37.319589,-123.140679,1,40-64
food_dining,107.36,F,33.6773,-118.0051,190249,33.076661,-118.731121,1,40-64
home,4.89,M,40.4731,-80.9596,2208,40.313751,-80.302367,0,>=65
grocery_pos,97.9,M,30.251,-92.5002,1261,30.457024,-91.565412,0,40-64
grocery_pos,372.4,F,43.6849,-71.2551,1368,44.42819,-71.47170899999998,1,40-64
kids_pets,47.25,F,39.3716,-77.8229,1925,39.214622,-78.090929,0,>=65
entertainment,220.54,F,36.1124,-78.6476,12335,36.028426,-78.313056,0,26-39
personal_care,30.43,F,38.9621,-94.5959,545147,39.912952,-94.824687,0,26-39
shopping_net,1108.62,M,33.6751,-98.6576,2317,32.901461,-98.770651,1,>=65
shopping_pos,1029.91,M,26.7832,-80.0638,459921,27.752153000000003,-79.55637800000002,1,>=65
grocery_pos,115.97,M,41.7918,-72.7188,370,42.235097,-72.449445,0,>=65
health_fitness,57.44,F,48.2777,-112.8456,743,48.566935,-112.106956,0,40-64
home,7.14,M,32.9396,-105.8189,899,33.660828,-105.406725,0,>=65
gas_transport,53.79,F,37.1788,-82.695,502,36.906204,-82.470378,0,>=65
gas_transport,16.24,M,39.0319,-88.4074,2092,39.307826,-88.659615,1,>=65
kids_pets,14.51,F,42.9207,-91.0685,878,43.441023,-90.214474,0,40-64
misc_pos,12.89,F,36.9688,-78.5615,1970,37.835719,-78.909491,0,40-64
home,54.61,F,35.2087,-92.2123,969,35.753039,-92.348709,0,>=65
misc_net,733.51,M,32.425,-97.7742,47119,32.555237,-97.541952,1,>=65
home,2.07,F,42.0716,-75.0152,1228,42.016113,-75.481833,0,26-39
entertainment,588.24,F,44.8816,-73.6408,2148,45.281001,-73.379838,1,>=65
shopping_pos,717.37,F,37.7827,-80.3129,5216,38.755097,-79.535493,1,26-39
home,85.21,M,40.6025,-80.3863,198,39.90272,-79.653807,0,40-64
shopping_net,1019.25,F,36.0244,-90.9288,7155,36.072675,-90.754591,1,40-64
grocery_pos,297.07,M,43.19600000000001,-72.3001,477,43.078253,-71.917416,1,26-39
misc_pos,275.62,M,33.6751,-98.6576,2317,33.674215999999994,-98.286093,0,>=65
shopping_net,940.24,F,43.0032,-93.2167,1574,43.119303,-93.158159,1,40-64
gas_transport,47.39,F,32.5486,-80.307,2408,32.303095,-79.593671,0,26-39
gas_transport,39.21,F,40.813,-83.4196,118,40.864735,-83.228739,0,>=65
personal_care,17.48,F,38.8089,-78.7776,863,38.43372,-79.15046,0,40-64
food_dining,113.15,F,38.0828,-76.3477,313,37.411692,-75.456969,1,40-64
personal_care,19.77,F,32.153,-90.1217,19685,31.175739,-90.57985,1,40-64
shopping_net,3.72,M,40.4109,-74.238,30770,40.516745,-74.879456,0,26-39
kids_pets,53.75,M,42.426,-83.15,673342,42.66217,-82.994022,0,>=65
grocery_pos,303.88,M,46.5522,-96.7909,291,46.665316,-97.483871,1,26-39
misc_pos,49.08,F,31.9907,-96.9837,522,31.482381,-96.539632,1,>=65
shopping_net,919.3,M,39.8839,-75.4669,348,40.66305,-75.61519200000002,1,>=65
kids_pets,42.1,F,36.1486,-105.6648,247,35.994248,-106.011318,0,>=65
grocery_pos,333.47,F,36.7558,-83.1838,581,37.728382,-82.949322,1,>=65
shopping_net,107.79,M,38.4207,-79.4629,99,38.995243,-80.439538,0,26-39
shopping_pos,1044.75,F,39.1505,-79.503,836,39.376715,-80.227548,0,40-64
home,248.23,F,36.8809,-82.0956,9521,37.025116,-82.177313,1,40-64
kids_pets,20.82,F,36.8809,-82.0956,9521,37.725134,-81.689891,1,40-64
gas_transport,23.33,M,39.8153,-91.2627,1656,39.887176,-91.540577,1,>=65
gas_transport,11.02,M,38.5234,-120.6763,832,38.076869,-120.327004,1,26-39
health_fitness,75.86,M,40.9661,-76.8575,645,41.154028,-75.924718,0,40-64
grocery_pos,159.69,F,36.1486,-105.6648,247,35.228317,-105.900756,0,>=65
shopping_net,921.14,F,42.9147,-83.4845,6951,43.69031,-84.183004,1,40-64
shopping_pos,791.99,F,43.5336,-95.6515,399,43.934232,-95.287156,1,40-64
misc_pos,37.51,M,44.2378,-95.2739,1507,43.681366,-94.707052,0,26-39
shopping_net,89.86,M,45.32899999999999,-98.0837,52,45.399074,-97.657417,0,26-39
entertainment,79.33,M,44.2378,-95.2739,1507,44.37703,-94.814951,0,26-39
food_dining,62.13,M,41.2153,-90.9879,1504,40.721521,-91.18896,0,26-39
home,2.45,M,43.0172,-111.0292,471,42.827189,-110.500539,0,>=65
food_dining,2.29,F,42.1001,-73.3611,2121,41.971518,-72.720865,0,40-64
grocery_pos,61.09,F,34.3396,-89.5736,4198,33.483713,-89.93481,0,<=25
misc_net,666.73,F,33.413000000000004,-81.69,2206,33.170856,-80.819823,1,26-39
shopping_pos,4.69,M,33.6751,-98.6576,2317,32.972229,-98.926584,0,>=65
food_dining,51.68,M,36.802,-87.8286,13422,36.353603,-87.965753,0,>=65
health_fitness,19.42,F,37.9943,-88.9417,324,37.507758,-88.634198,1,40-64
grocery_pos,271.43,M,42.247,-73.7552,17867,42.797544,-73.307973,1,<=25
grocery_pos,312.41,M,30.251,-92.5002,1261,29.447413,-92.265367,1,40-64
grocery_pos,341.19,M,34.4596,-93.6743,1383,33.484209,-93.405093,1,>=65
shopping_pos,1174.93,F,42.8112,-78.4481,1166,43.49763400000001,-78.192787,1,40-64
misc_pos,98.94,F,32.5486,-80.307,2408,32.781394,-79.680211,0,26-39
shopping_pos,18.73,M,44.6001,-84.2931,864,44.424047,-83.857405,0,>=65
kids_pets,61.44,M,30.251,-92.5002,1261,29.315954,-91.778484,0,40-64
shopping_net,284.3,F,46.1966,-118.9017,3684,45.92605,-118.401055,0,40-64
personal_care,61.0,M,38.4921,-85.4524,564,39.369826,-85.665623,0,26-39
kids_pets,87.67,F,39.1505,-79.503,836,40.131796,-78.69429699999998,0,40-64
home,292.85,F,39.5756,-83.7153,338,39.234366,-83.493142,1,26-39
grocery_pos,28.02,M,39.0298,-77.0793,19054,38.19077,-77.77749399999998,0,40-64
shopping_net,3.68,F,37.9931,-100.9893,2691,38.10408,-101.058098,0,26-39
misc_pos,12.01,F,48.4786,-122.3345,14871,48.144365,-122.655166,0,40-64
kids_pets,34.29,M,42.8223,-83.2829,24840,42.139986,-82.823596,0,>=65
misc_net,832.03,F,31.8287,-99.427,5908,31.435958000000007,-99.502366,1,>=65
shopping_net,997.0,M,41.2064,-95.9953,518429,40.499096,-96.052214,1,26-39
personal_care,20.85,F,20.0271,-155.3697,1490,19.594864,-154.426881,0,26-39
misc_net,265.35,M,42.958,-77.3083,10717,43.090826,-76.840663,0,>=65
shopping_pos,876.79,M,42.7769,-82.5437,7339,43.38701,-83.289573,1,>=65
entertainment,73.76,M,32.8088,-83.17399999999998,1841,31.810569,-83.731562,0,40-64
shopping_net,901.8,F,47.6633,-122.3022,837792,47.387087,-121.520573,1,>=65
shopping_pos,623.89,F,30.9416,-83.3574,10295,30.878934,-83.994025,1,26-39
shopping_pos,793.37,F,26.4722,-81.8122,224256,26.658121,-81.747417,0,40-64
gas_transport,9.5,F,36.2201,-91.6421,2856,35.791545,-91.811939,1,>=65
home,81.61,M,24.6557,-81.3824,32891,23.888955,-81.593544,0,26-39
shopping_pos,4.29,M,43.2064,-90.9405,153,44.186263,-91.09643,0,>=65
shopping_pos,150.7,M,35.0659,-89.1534,1804,34.106898,-88.165811,0,40-64
home,74.4,M,43.1128,-77.4906,8019,42.279614,-78.210801,0,>=65
kids_pets,49.76,M,48.3396,-102.24,229,48.923125,-102.14465,0,40-64
misc_pos,9.6,M,34.3091,-78.3372,2290,33.712722,-77.58964,0,>=65
shopping_net,960.4,M,31.882,-88.9981,4573,31.659375,-89.940097,1,26-39
personal_care,66.21,F,31.924,-105.2099,579,30.960245,-105.407428,0,>=65
home,116.39,F,33.5623,-112.0559,1312922,34.1975,-112.073878,0,40-64
home,271.35,F,40.3207,-110.436,302,41.047471,-109.674745,1,26-39
grocery_pos,144.0,M,41.2244,-86.6966,5791,41.938574,-86.51464399999998,0,>=65
grocery_pos,72.54,M,43.9446,-88.0911,5196,44.586441,-88.267643,0,40-64
shopping_net,6.86,F,32.5104,-86.8138,1089,33.322107,-86.92661899999997,0,40-64
grocery_net,11.33,M,29.7396,-95.446,2906700,30.210425,-95.632497,1,>=65
shopping_pos,5.74,F,26.1184,-81.7361,276002,25.418783,-81.265754,0,>=65
grocery_pos,102.32,M,44.2378,-95.2739,1507,44.552919,-95.864916,0,26-39
shopping_pos,764.95,F,41.36600000000001,-98.0054,1749,40.434226,-98.463919,1,40-64
shopping_pos,6.71,M,31.4841,-97.9903,258,31.255535,-98.226679,0,>=65
travel,1.96,M,43.6718,-89.1918,1628,43.66274600000001,-89.623838,0,>=65
home,15.29,F,40.4679,-77.8967,1334,40.512733,-77.193298,0,26-39
home,26.84,M,39.4055,-75.3209,804,39.743804,-76.256428,0,>=65
grocery_pos,180.43,F,43.7857,-124.1437,260,43.268083,-125.035471,0,>=65
grocery_pos,307.29,F,44.0577,-76.0196,1271,44.664574,-75.79949,1,>=65
grocery_pos,94.34,F,35.8985,-97.2607,1493,36.603944,-97.274172,0,40-64
personal_care,77.09,M,40.8555,-79.7372,2054,41.285516,-80.314903,0,40-64
grocery_net,8.94,M,41.2123,-79.3773,10127,40.799605,-79.114841,1,>=65
home,33.64,F,26.4215,-99.0025,18128,25.772647,-99.668213,0,26-39
personal_care,17.59,M,27.9611,-81.9398,237282,27.678673,-82.93297700000002,0,>=65
food_dining,7.42,M,47.8342,-90.0476,272,47.670517,-89.529514,0,<=25
gas_transport,56.96,M,31.1569,-94.3871,2836,31.432225,-94.938254,0,40-64
misc_net,303.42,F,32.2768,-95.3031,144160,33.01359,-95.186464,0,40-64
grocery_pos,81.19,F,38.8582,-76.6145,3289,38.487958,-76.605769,0,>=65
grocery_pos,171.05,F,34.2651,-77.867,186140,34.343699,-78.54275600000003,0,40-64
entertainment,6.69,M,38.9763,-87.3667,4081,39.77968900000001,-87.967448,0,>=65
shopping_net,1059.12,F,48.0204,-98.1186,454,48.190114,-98.644471,1,40-64
personal_care,72.22,F,33.357,-89.0473,1923,34.318664,-89.02529200000002,0,>=65
misc_net,800.94,F,37.2409,-82.7696,230,37.311262,-82.066926,1,26-39
food_dining,92.16,F,33.9845,-85.9077,67082,33.88494,-85.242162,0,>=65
misc_net,654.83,F,37.3696,-80.1284,1363,38.256199,-80.775211,1,>=65
entertainment,74.84,M,31.6143,-82.7243,782,32.448268,-82.762266,0,40-64
shopping_net,42.42,F,31.6591,-96.8094,263,31.169446,-96.458948,0,>=65
food_dining,2.12,M,39.6967,-78.8031,626,40.478919,-79.606112,0,>=65
shopping_pos,781.95,F,38.1372,-81.5962,630,38.020455,-82.434497,1,>=65
shopping_pos,768.06,M,30.0041,-95.2825,194500,29.219485,-94.369556,1,26-39
grocery_pos,75.18,M,39.6991,-78.1762,3766,38.724853,-78.77216,0,40-64
grocery_pos,110.04,M,43.1128,-77.4906,8019,42.241066,-78.242901,0,>=65
health_fitness,75.61,M,41.06399999999999,-72.3366,1858,41.713505,-72.55783199999998,0,40-64
shopping_pos,14.84,F,35.8312,-94.1187,2786,35.654674,-94.613934,0,>=65
food_dining,97.69,M,38.2586,-78.4074,9815,39.134906,-78.203758,0,40-64
grocery_pos,310.06,F,40.4815,-92.9951,3805,41.419866,-93.952491,1,>=65
home,98.24,F,36.2395,-95.9596,413574,37.030422,-96.492562,0,>=65
food_dining,46.55,F,36.0557,-96.0602,413574,36.681578,-96.986585,0,40-64
shopping_net,977.1,M,66.6933,-153.994,239,66.115234,-154.790455,1,26-39
misc_net,3.16,F,30.7906,-81.5607,1293,30.824736,-82.23501999999998,0,>=65
grocery_pos,351.2,F,38.2427,-122.9145,337,38.653491,-123.081267,1,>=65
kids_pets,55.26,M,42.4069,-74.1528,277,41.542246,-74.59054300000003,0,40-64
health_fitness,81.35,M,44.4477,-93.4252,5211,45.036226,-93.333702,0,26-39
entertainment,537.37,F,42.9373,-87.9943,13973,43.552235,-88.45922900000002,1,40-64
gas_transport,83.0,F,38.9311,-89.2463,1810,38.648727,-89.953549,0,40-64
entertainment,93.99,F,41.4768,-95.3509,2036,41.519895,-95.302809,0,40-64
shopping_net,913.22,F,38.1485,-98.6408,215,38.939341,-98.649013,1,>=65
misc_pos,44.5,F,33.1194,-83.8235,3343,33.632378,-83.31911099999998,0,26-39
shopping_net,1084.55,M,38.3847,-121.9887,99475,38.962408,-121.301792,1,>=65
gas_transport,39.93,F,39.5756,-83.7153,338,40.3184,-83.67998399999998,0,26-39
food_dining,79.93,F,48.4786,-122.3345,14871,48.361297,-122.476104,0,40-64
shopping_pos,136.22,M,45.2857,-108.9082,1446,44.292007,-108.044912,0,40-64
food_dining,72.0,F,34.2651,-77.867,186140,33.990218,-77.621077,0,40-64
shopping_net,9.12,M,43.745,-70.9092,1892,43.199192,-70.690564,0,>=65
misc_net,984.82,F,37.1641,-96.6917,602,37.925149,-97.230261,1,>=65
shopping_net,1056.24,M,40.7641,-84.0973,86954,40.500794,-83.470111,1,26-39
health_fitness,26.48,M,40.4109,-74.238,30770,40.943278,-74.21288100000002,0,26-39
grocery_pos,45.54,M,38.5072,-81.89,5512,38.484655,-82.80569100000002,0,40-64
shopping_net,486.96,F,26.4215,-99.0025,18128,26.719072,-98.397134,0,26-39
food_dining,267.36,F,38.9999,-109.615,46,38.78313,-109.924882,0,26-39
shopping_pos,27.37,F,30.7145,-88.0918,270712,30.241161,-88.60633399999998,0,40-64
grocery_net,50.05,F,27.633000000000006,-80.4031,105638,26.744503,-80.400775,0,26-39
food_dining,8.6,M,40.8618,-85.6067,2304,41.85886,-86.59552099999998,0,>=65
shopping_net,973.38,M,44.6255,-116.4493,129,43.811817,-115.676318,1,>=65
home,106.35,M,44.4477,-93.4252,5211,44.674275,-92.845984,0,26-39
personal_care,77.56,M,37.1935,-89.0933,639,36.872631,-89.859695,0,40-64
shopping_pos,7.57,M,42.5164,-82.9832,134056,42.168542,-82.97874,0,40-64
shopping_net,982.62,M,41.5177,-78.2536,4533,41.752843,-79.134805,1,>=65
shopping_pos,902.11,M,40.817,-74.0,13835,41.150857,-74.968411,1,>=65
shopping_net,1111.8,F,40.9086,-73.8221,67100,41.146004,-72.99217800000002,1,>=65
grocery_pos,352.85,M,42.4048,-88.3054,928,42.121874,-88.90133399999998,1,40-64
gas_transport,61.17,M,36.115,-84.0438,4729,37.084172,-84.873879,0,40-64
kids_pets,54.36,F,46.1838,-101.2589,77,46.47305,-101.661486,0,26-39
gas_transport,59.59,M,35.8596,-86.421,158701,36.201202,-85.947615,0,40-64
shopping_net,847.72,F,42.0716,-75.0152,1228,42.006549,-74.340631,1,26-39
grocery_pos,61.32,F,45.6675,-93.2433,2607,46.495708,-92.272704,0,26-39
health_fitness,20.96,F,35.9335,-84.1481,391389,36.461043,-84.263364,1,26-39
kids_pets,110.68,M,42.1808,-112.262,4154,42.711471,-112.63253600000002,0,>=65
grocery_pos,346.26,F,41.1949,-89.4409,754,41.922698,-88.735667,1,>=65
grocery_pos,355.18,F,40.3406,-120.2824,104,41.138186,-119.452939,1,26-39
home,30.91,M,24.6557,-81.3824,32891,24.630321,-80.479289,0,26-39
misc_net,750.14,F,37.1641,-96.6917,602,36.589668,-97.432638,1,>=65
kids_pets,18.62,M,26.9379,-82.2388,79008,26.070484,-81.827267,1,40-64
health_fitness,20.8,F,40.6152,-74.415,71485,41.57962,-74.832006,1,40-64
gas_transport,56.4,M,40.333,-73.9809,3279,40.646051,-73.852731,0,40-64
health_fitness,18.83,F,42.9207,-91.0685,878,42.083134,-90.106427,1,40-64
misc_net,104.86,M,41.2001,-92.1354,568,41.418967,-91.244413,0,>=65
grocery_net,44.57,M,38.4207,-79.4629,99,38.528159,-78.998547,0,26-39
food_dining,185.75,F,40.732,-73.1,4056,41.478952,-72.716121,0,26-39
entertainment,3.63,M,38.7894,-77.2818,43102,38.254093,-76.439805,0,>=65
grocery_pos,350.42,F,41.8117,-79.2643,528,42.795327,-79.81481099999998,1,40-64
shopping_net,959.75,M,36.2245,-79.8901,14075,36.033696,-79.191755,1,>=65
shopping_pos,2.41,M,44.9673,-93.2828,1022298,45.750556,-93.852657,0,40-64
personal_care,51.0,M,30.2508,-89.6011,1414,30.581022,-89.724137,1,>=65
shopping_pos,2.23,M,36.7779,-81.7676,5657,35.838494,-81.311275,0,26-39
gas_transport,53.67,M,39.6967,-78.8031,626,40.195541,-79.785732,0,>=65
shopping_pos,1.1,F,40.0369,-75.0664,1526206,40.73636,-75.004097,0,40-64
shopping_pos,740.2,F,37.8274,-88.6235,1943,37.851917,-87.922751,1,40-64
entertainment,570.24,M,36.6966,-96.7869,471,35.912766,-97.373227,1,>=65
shopping_pos,925.87,F,31.8287,-99.427,5908,31.958303000000004,-99.493034,1,>=65
food_dining,115.37,F,34.9906,-81.8327,167,34.739006,-81.11618399999998,1,26-39
misc_pos,7.64,M,40.1008,-80.0652,632,40.886226,-81.06290899999998,1,26-39
misc_net,708.06,F,48.0379,-118.9419,1439,48.399976,-118.784017,1,<=25
misc_net,888.13,M,40.7687,-80.3592,28425,40.674826,-80.633625,1,>=65
grocery_pos,143.73,F,33.357,-89.0473,1923,33.738913000000004,-89.844468,0,>=65
shopping_net,960.87,M,42.7769,-82.5437,7339,43.01161,-81.699174,1,>=65
entertainment,495.2,F,34.7032,-98.9591,540,34.150624,-98.49162,1,40-64
shopping_net,982.64,F,38.8089,-78.7776,863,39.363432,-78.26151899999998,1,40-64
home,20.96,M,35.1959,-83.8228,5354,35.968537,-83.010597,0,>=65
misc_net,883.32,F,33.9568,-81.1405,52126,34.064719000000004,-81.133059,1,>=65
entertainment,524.86,M,44.2529,-85.01700000000002,1126,44.872374,-84.840879,1,>=65
misc_net,7.79,F,36.0244,-90.9288,7155,36.720448,-91.014881,0,40-64
grocery_pos,53.0,M,42.728,-71.181,47249,42.090814,-70.783366,0,40-64
entertainment,441.28,F,40.7105,-74.0163,1577385,41.40011,-74.748451,1,>=65
home,24.77,M,34.4959,-86.259,5901,33.775433,-85.371762,0,40-64
gas_transport,76.96,F,39.1329,-95.7023,163415,39.490233,-95.626366,0,<=25
misc_net,9.93,M,42.4969,-83.2911,75830,43.236207,-83.58294599999998,0,40-64
kids_pets,69.31,F,32.6205,-94.2,2807,33.409382,-94.104717,0,>=65
misc_pos,3.25,F,30.5012,-87.8835,27829,31.388612,-87.419634,0,>=65
grocery_pos,95.45,M,36.0435,-84.04,25459,35.371349,-84.131091,0,>=65
shopping_net,1036.43,M,33.6028,-81.9748,46944,34.441837,-82.475102,1,>=65
personal_care,37.55,F,43.92100000000001,-122.7806,1420,42.933609,-123.029286,0,>=65
shopping_pos,6.76,F,37.0462,-76.4096,136895,37.519465,-75.49251,0,>=65
misc_pos,34.03,M,42.277,-97.1926,566,42.884723,-97.918769,0,40-64
food_dining,111.46,F,39.6747,-76.8941,11751,39.939689,-77.25032,1,>=65
shopping_pos,246.11,F,38.9462,-94.9714,5760,38.714423,-95.250633,0,40-64
food_dining,106.92,M,31.6453,-90.1801,1196,31.131561,-91.078605,0,>=65
home,75.14,F,39.5803,-87.4616,205,39.93072100000001,-87.05131899999998,0,>=65
home,64.08,F,40.0369,-75.0664,1526206,39.46698,-75.79954000000002,0,40-64
shopping_net,3.31,M,44.0575,-69.9656,3224,43.102879,-69.459244,0,26-39
misc_pos,8.09,M,43.6088,-83.95299999999997,67858,43.382613,-83.00953,0,26-39
shopping_net,935.15,F,40.0563,-86.0163,64438,39.404102,-86.279117,1,>=65
home,27.21,F,46.1966,-118.9017,3684,45.35537100000001,-118.009203,0,40-64
food_dining,13.26,F,37.9943,-88.9417,324,38.621569,-89.619189,0,40-64
personal_care,85.96,F,43.2237,-75.1612,1684,42.285181,-75.954188,0,26-39
home,1.34,F,32.3836,-94.8653,24536,32.404118,-94.358865,0,40-64
entertainment,4.71,F,36.8421,-85.5396,341,36.02558300000001,-84.726466,0,>=65
shopping_net,902.9,M,33.4317,-111.8469,478404,33.761519,-111.078275,1,>=65
entertainment,13.63,M,44.6255,-116.4493,129,45.62124,-116.578113,0,>=65
home,90.31,M,32.9396,-105.8189,899,32.593069,-105.345981,0,>=65
shopping_net,965.24,F,32.7948,-96.7697,1263321,33.632617,-97.112652,1,>=65
misc_net,646.51,F,39.3036,-89.2853,3458,38.981348,-88.704047,1,40-64
grocery_pos,228.63,F,44.232,-74.4905,6120,44.835125,-74.16721,0,40-64
entertainment,422.35,M,41.8114,-93.4855,1195,41.396124,-92.70171,1,40-64
shopping_pos,880.7,M,38.5234,-120.6763,832,37.967799,-121.175931,1,26-39
entertainment,5.12,M,37.6395,-97.1714,409656,36.744593,-97.830573,0,40-64
food_dining,47.7,F,29.7972,-95.3288,2906700,30.269028,-94.585085,0,40-64
kids_pets,43.34,F,30.1886,-103.2214,498,30.929218,-104.034206,0,26-39
gas_transport,21.52,M,39.4336,-87.4101,137,40.35526,-88.174776,1,>=65
kids_pets,111.65,M,33.9778,-86.5598,3996,33.747553,-86.227408,0,40-64
gas_transport,11.77,F,39.8882,-79.8694,2379,39.579559,-80.492325,1,40-64
gas_transport,51.73,M,42.6911,-71.1605,76383,42.616779,-71.501662,0,40-64
